sample,genus,taxon,group,country,r1,r2
4148,Dactylorhiza,lapponica,majalis,FIN,../chloro/raw-data/Sample_4148/4148_S114_L008_R1_001.fastq.gz,../chloro/raw-data/Sample_4148/4148_S114_L008_R2_001.fastq.gz
5548,Dactylorhiza,saccifera,maculata,BUL,../chloro/raw-data/Sample_5548/5548_S115_L008_R1_001.fastq.gz,../chloro/raw-data/Sample_5548/5548_S115_L008_R2_001.fastq.gz
9341,Nigritella,miniata,miniata,AUT,../chloro/raw-data/Sample_9341/9341_S116_L008_R1_001.fastq.gz,../chloro/raw-data/Sample_9341/9341_S116_L008_R2_001.fastq.gz
14534,Dactylorhiza,maurusia,maculata,MAR,../chloro/raw-data/Sample_14534/14534_S117_L008_R1_001.fastq.gz,../chloro/raw-data/Sample_14534/14534_S117_L008_R2_001.fastq.gz
15002,Nigritella,gabasiana,dipl_Nigritella,FRA,../chloro/raw-data/Sample_15002/15002_S118_L008_R1_001.fastq.gz,../chloro/raw-data/Sample_15002/15002_S118_L008_R2_001.fastq.gz
15249,Gymnadenia,odoratissima,odoratissima,SWE,../chloro/raw-data/Sample_15249/15249_S119_L008_R1_001.fastq.gz,../chloro/raw-data/Sample_15249/15249_S119_L008_R2_001.fastq.gz
15316,Gymnadenia,conopsea,conopsea,SWE,../chloro/raw-data/Sample_15316/15316_S120_L008_R1_001.fastq.gz,../chloro/raw-data/Sample_15316/15316_S120_L008_R2_001.fastq.gz
15368,Nigritella,miniata,miniata,AUT,../chloro/raw-data/Sample_15368/15368_S121_L008_R1_001.fastq.gz,../chloro/raw-data/Sample_15368/15368_S121_L008_R2_001.fastq.gz
16653,Gymnadenia,conopsea,conopsea,SWE,../chloro/raw-data/Sample_16653/16653_S122_L008_R1_001.fastq.gz,../chloro/raw-data/Sample_16653/16653_S122_L008_R2_001.fastq.gz
579,Galearis,NA,NA,NA,../chloro/raw-data/Sample_579/579_S123_L008_R1_001.fastq.gz,../chloro/raw-data/Sample_579/579_S123_L008_R2_001.fastq.gz
3328,Gymnadenia,borealis,NA,NA,../chloro/raw-data/Sample_3328/3328_S124_L008_R1_001.fastq.gz,../chloro/raw-data/Sample_3328/3328_S124_L008_R2_001.fastq.gz
689,Dactylorhiza,sambucina,sambucina,ITA,../chloro/raw-data/Sample_689/689_S125_L008_R1_001.fastq.gz,../chloro/raw-data/Sample_689/689_S125_L008_R2_001.fastq.gz
946,Dactylorhiza,kalopissii,allo_odd,GRE,../chloro/raw-data/Sample_946/946_S126_L008_R1_001.fastq.gz,../chloro/raw-data/Sample_946/946_S126_L008_R2_001.fastq.gz
1466,Dactylorhiza,maculata,maculata,FRO,../chloro/raw-data/Sample_1466/1466_S127_L008_R1_001.fastq.gz,../chloro/raw-data/Sample_1466/1466_S127_L008_R2_001.fastq.gz
2118,Dactylorhiza,graeca,cordigera,GRE,../chloro/raw-data/Sample_2118/2118_S128_L008_R1_001.fastq.gz,../chloro/raw-data/Sample_2118/2118_S128_L008_R2_001.fastq.gz
7257,Dactylorhiza,sambucina,sambucina,ITA,../chloro/raw-data/Sample_7257/7257_S129_L008_R1_001.fastq.gz,../chloro/raw-data/Sample_7257/7257_S129_L008_R2_001.fastq.gz
7791,Dactylorhiza,cyrnea,maculata,FRA,../chloro/raw-data/Sample_7791/7791_S130_L008_R1_001.fastq.gz,../chloro/raw-data/Sample_7791/7791_S130_L008_R2_001.fastq.gz
10038,Dactylorhiza,alpestris,majalis,FRA,../chloro/raw-data/Sample_10038/10038_S131_L008_R1_001.fastq.gz,../chloro/raw-data/Sample_10038/10038_S131_L008_R2_001.fastq.gz
10044,Dactylorhiza,alpestris,majalis,FRA,../chloro/raw-data/Sample_10044/10044_S132_L008_R1_001.fastq.gz,../chloro/raw-data/Sample_10044/10044_S132_L008_R2_001.fastq.gz
10126,Dactylorhiza,majalis,majalis,GER,../chloro/raw-data/Sample_10126/10126_S133_L008_R1_001.fastq.gz,../chloro/raw-data/Sample_10126/10126_S133_L008_R2_001.fastq.gz
10345,Dactylorhiza,fuc,fuc,FRA,../chloro/raw-data/Sample_10345/10345_S134_L008_R1_001.fastq.gz,../chloro/raw-data/Sample_10345/10345_S134_L008_R2_001.fastq.gz
12262,Dactylorhiza,foliosa,maculata,POR,../chloro/raw-data/Sample_12262/12262_S135_L008_R1_001.fastq.gz,../chloro/raw-data/Sample_12262/12262_S135_L008_R2_001.fastq.gz
12553,Dactylorhiza,purpurella,allo_odd,NOR,../chloro/raw-data/Sample_12553/12553_S136_L008_R1_001.fastq.gz,../chloro/raw-data/Sample_12553/12553_S136_L008_R2_001.fastq.gz
