task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
25	53/0c423f	1012914	ORCL_PIPELINE:FASTQ_VALIDATION_STATS:VALIDATE_PE_RAW (validate-4204_S72_L007_R1_001.fastq.gz)	COMPLETED	0	2025-10-01 13:21:18.892	31.2s	29.6s	106.3%	609.8 MB	36 GB	335.5 MB	2.1 KB
14	29/a63087	1012958	ORCL_PIPELINE:FASTQ_VALIDATION_STATS:VALIDATE_PE_RAW (validate-671_S45_L007_R1_001.fastq.gz)	COMPLETED	0	2025-10-01 13:21:18.975	44.3s	42.6s	112.2%	620.3 MB	36 GB	510.5 MB	3 KB
9	64/9bf7f7	1012952	ORCL_PIPELINE:FASTQ_VALIDATION_STATS:VALIDATE_PE_RAW (validate-2759_S42_L007_R1_001.fastq.gz)	COMPLETED	0	2025-10-01 13:21:18.960	57.1s	55s	109.4%	629 MB	36 GB	756.1 MB	4.6 KB
13	84/20f0f0	1012921	ORCL_PIPELINE:FASTQ_VALIDATION_STATS:VALIDATE_PE_RAW (validate-3312_S44_L007_R1_001.fastq.gz)	COMPLETED	0	2025-10-01 13:21:18.903	1m 2s	1m	109.4%	632.2 MB	36 GB	738 MB	4.3 KB
21	da/bf15a3	1012935	ORCL_PIPELINE:FASTQ_VALIDATION_STATS:VALIDATE_PE_RAW (validate-561_S48_L007_R1_001.fastq.gz)	COMPLETED	0	2025-10-01 13:21:18.926	1m 5s	1m 3s	110.4%	634.2 MB	36 GB	881.6 MB	4.9 KB
23	58/173f77	1012900	ORCL_PIPELINE:FASTQ_VALIDATION_STATS:VALIDATE_PE_RAW (validate-12240_S49_L007_R1_001.fastq.gz)	COMPLETED	0	2025-10-01 13:21:18.869	1m 9s	1m 7s	109.3%	626.3 MB	36 GB	963 MB	5.3 KB
8	fb/590e0b	1012928	ORCL_PIPELINE:FASTQ_VALIDATION_STATS:VALIDATE_PE_RAW (validate-2769_S41_L007_R1_001.fastq.gz)	COMPLETED	0	2025-10-01 13:21:18.914	1m 14s	1m 12s	107.9%	630.1 MB	36 GB	938.3 MB	5.4 KB
11	bd/d0bcd5	1024924	ORCL_PIPELINE:FASTQ_VALIDATION_STATS:VALIDATE_PE_RAW (validate-2774_S43_L007_R1_001.fastq.gz)	COMPLETED	0	2025-10-01 13:21:50.098	44.5s	42.3s	111.5%	624.8 MB	36 GB	503.8 MB	3 KB
32	c2/95e6a0	1012907	ORCL_PIPELINE:FASTQ_VALIDATION_STATS:VALIDATE_PE_RAW (validate-3174_S84_L007_R1_001.fastq.gz)	COMPLETED	0	2025-10-01 13:21:18.881	1m 25s	1m 23s	108.0%	643.8 MB	36 GB	1.2 GB	6.6 KB
28	f2/7ca386	1012942	ORCL_PIPELINE:FASTQ_VALIDATION_STATS:VALIDATE_PE_RAW (validate-3173_S83_L007_R1_001.fastq.gz)	COMPLETED	0	2025-10-01 13:21:18.937	1m 47s	1m 45s	106.1%	620.1 MB	36 GB	1.3 GB	7.2 KB
16	77/681054	1027741	ORCL_PIPELINE:FASTQ_VALIDATION_STATS:VALIDATE_PE_RAW (validate-544_S46_L007_R1_001.fastq.gz)	COMPLETED	0	2025-10-01 13:22:03.274	1m 17s	1m 15s	105.5%	631.2 MB	36 GB	971.3 MB	5.6 KB
19	da/79c25d	1036589	ORCL_PIPELINE:TRIM_READS:TRIM_PROCESS (4204)	COMPLETED	0	2025-10-01 13:22:34.634	49.3s	46.9s	319.4%	4.3 GB	4.9 GB	376 MB	235.7 MB
5	7f/a49e45	1032532	ORCL_PIPELINE:TRIM_READS:TRIM_PROCESS (3312)	COMPLETED	0	2025-10-01 13:22:20.839	1m 58s	1m 56s	255.2%	4.3 GB	4.8 GB	778.6 MB	646.4 MB
6	c6/fde6e3	1033191	ORCL_PIPELINE:TRIM_READS:TRIM_PROCESS (671)	COMPLETED	0	2025-10-01 13:22:23.961	2m 8s	2m 6s	257.3%	4.3 GB	4.9 GB	551 MB	446.9 MB
4	d9/0c837f	1042856	ORCL_PIPELINE:TRIM_READS:TRIM_PROCESS (2774)	COMPLETED	0	2025-10-01 13:23:05.624	1m 40s	1m 37s	280.9%	4.3 GB	4.7 GB	544.3 MB	436.1 MB
3	3b/084426	1034556	ORCL_PIPELINE:TRIM_READS:TRIM_PROCESS (2759)	COMPLETED	0	2025-10-01 13:22:28.361	2m 33s	2m 31s	215.4%	4.4 GB	4.8 GB	796.6 MB	659.6 MB
7	e6/436f1b	1039347	ORCL_PIPELINE:TRIM_READS:TRIM_PROCESS (544)	COMPLETED	0	2025-10-01 13:22:44.262	2m 28s	2m 27s	304.6%	4.3 GB	4.8 GB	1011.8 MB	854.8 MB
18	2b/f8c736	1031138	ORCL_PIPELINE:FASTQ_VALIDATION_STATS:VALIDATE_PE_RAW (validate-1658_S47_L007_R1_001.fastq.gz)	COMPLETED	0	2025-10-01 13:22:16.057	3m 2s	3m	86.5%	722.5 MB	36 GB	1.5 GB	8.7 KB
15	6f/6d9545	1045541	ORCL_PIPELINE:TRIM_READS:TRIM_PROCESS (12240)	COMPLETED	0	2025-10-01 13:23:20.692	2m 15s	2m 12s	359.8%	4.3 GB	4.7 GB	1003.5 MB	805.7 MB
