task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
16	06/0c05d4	70779	ORCL_PIPELINE:TRIM_READS:TRIM_PROCESS (544)	COMPLETED	0	2025-09-29 17:16:47.415	1m 36s	1m 34s	467.9%	4.3 GB	5.1 GB	1011.8 MB	854.8 MB
19	cb/fb31b2	67957	ORCL_PIPELINE:TRIM_READS:TRIM_PROCESS (1658)	COMPLETED	0	2025-09-29 17:16:33.333	2m 1s	1m 59s	679.7%	4.3 GB	5 GB	1.5 GB	1.3 GB
2	0c/85bb3b	73625	ORCL_PIPELINE:QC_REPORTS:FASTQC_RAW (2769)	COMPLETED	0	2025-09-29 17:17:06.606	1m 34s	1m 32s	96.8%	838.1 MB	4.4 GB	470 MB	2 MB
12	6a/bbbafb	77351	ORCL_PIPELINE:TRIM_READS:TRIM_PROCESS (671)	COMPLETED	0	2025-09-29 17:17:38.689	1m 20s	1m 17s	375.9%	4.3 GB	5.1 GB	551 MB	446.9 MB
25	2c/214388	78503	ORCL_PIPELINE:FASTQ_VALIDATION_STATS:VALIDATE_PE_RAW (validate-561_S48_L007_R1_001.fastq.gz)	COMPLETED	0	2025-09-29 17:17:47.080	1m 19s	1m 16s	102.5%	621 MB	36 GB	881.6 MB	4.9 KB
36	5d/d368da	76858	ORCL_PIPELINE:QC_REPORTS:FASTQC_RAW (12240)	COMPLETED	0	2025-09-29 17:17:36.219	1m 33s	1m 31s	101.4%	820.1 MB	4.2 GB	474.1 MB	2.1 MB
21	89/9dd560	83185	ORCL_PIPELINE:QC_REPORTS:FASTQC_RAW (3312)	COMPLETED	0	2025-09-29 17:18:22.014	55.2s	53.5s	109.0%	828.4 MB	4.3 GB	370.3 MB	2.1 MB
18	9b/2be105	81965	ORCL_PIPELINE:QC_REPORTS:FASTQC_RAW (3312)	COMPLETED	0	2025-09-29 17:18:13.838	1m 9s	1m 7s	108.3%	749.6 MB	4.1 GB	369.6 MB	2 MB
34	a0/022fe6	83341	ORCL_PIPELINE:QC_REPORTS:FASTQC_RAW (561)	COMPLETED	0	2025-09-29 17:18:23.521	1m 1s	59.5s	109.3%	769.5 MB	4.2 GB	437.9 MB	2.1 MB
3	ed/8b1c3f	85925	ORCL_PIPELINE:FASTQ_VALIDATION_STATS:VALIDATE_PE_RAW (validate-2769_S41_L007_R1_001.fastq.gz)	COMPLETED	0	2025-09-29 17:18:34.465	1m 10s	1m 8s	107.6%	626.1 MB	36 GB	938.3 MB	5.4 KB
30	42/99e6bd	87292	ORCL_PIPELINE:QC_REPORTS:FASTQC_RAW (544)	COMPLETED	0	2025-09-29 17:18:40.984	1m 6s	1m 5s	108.0%	829.5 MB	4.2 GB	487.4 MB	2.1 MB
15	fa/1488fc	91819	ORCL_PIPELINE:QC_REPORTS:FASTQC_RAW (2774)	COMPLETED	0	2025-09-29 17:19:09.494	38.1s	36.4s	116.8%	747.8 MB	4.1 GB	254.1 MB	2 MB
38	ee/92885d	94756	ORCL_PIPELINE:QC_REPORTS:FASTQC_TRIM (2774)	COMPLETED	0	2025-09-29 17:19:24.715	33.4s	31.4s	118.7%	750 MB	4.3 GB	228 MB	2 MB
31	d8/511387	53820	ORCL_PIPELINE:FASTQ_VALIDATION_STATS:FASTQ_STATS_SR_RAW (sr-raw-seqkit-stats)	COMPLETED	0	2025-09-29 17:15:30.952	4m 34s	4m 33s	656.0%	337.8 MB	1.7 GB	14.9 GB	7.4 GB
33	11/1db9ac	83333	ORCL_PIPELINE:QC_REPORTS:FASTQC_RAW (1658)	COMPLETED	0	2025-09-29 17:18:23.503	1m 46s	1m 45s	105.0%	843.4 MB	4.3 GB	768.9 MB	2 MB
22	23/18ce86	90040	ORCL_PIPELINE:TRIM_READS:TRIM_PROCESS (561)	COMPLETED	0	2025-09-29 17:18:58.798	1m 15s	1m 12s	472.4%	4.3 GB	5.1 GB	922.1 MB	762.1 MB
35	f3/d08f7c	93313	ORCL_PIPELINE:QC_REPORTS:FASTQC_RAW (561)	COMPLETED	0	2025-09-29 17:19:17.224	1m 3s	1m 2s	109.5%	749.2 MB	4.3 GB	445.6 MB	2.1 MB
40	a6/1b15ac	98452	ORCL_PIPELINE:QC_REPORTS:FASTQC_TRIM (2774)	COMPLETED	0	2025-09-29 17:19:47.335	39.3s	37.4s	114.6%	809.2 MB	4.3 GB	228.5 MB	2.1 MB
11	59/cadc56	94600	ORCL_PIPELINE:QC_REPORTS:FASTQC_RAW (2759)	COMPLETED	0	2025-09-29 17:19:23.235	1m 9s	1m 8s	108.8%	749.2 MB	4.3 GB	380.7 MB	2.1 MB
4	e6/6879a1	91086	ORCL_PIPELINE:TRIM_READS:TRIM_PROCESS (2759)	COMPLETED	0	2025-09-29 17:19:05.708	1m 40s	1m 38s	327.4%	4.4 GB	5.2 GB	796.6 MB	659.6 MB
1	ff/d79242	98137	ORCL_PIPELINE:TRIM_READS:TRIM_PROCESS (2769)	COMPLETED	0	2025-09-29 17:19:44.825	1m 11s	1m 9s	692.2%	4.3 GB	5 GB	978.8 MB	825.3 MB
41	a6/c6910d	98479	ORCL_PIPELINE:QC_REPORTS:FASTQC_TRIM (12240)	COMPLETED	0	2025-09-29 17:19:47.655	1m 13s	1m 11s	108.2%	749.2 MB	4.3 GB	408.4 MB	2 MB
42	a4/336166	100685	ORCL_PIPELINE:QC_REPORTS:FASTQC_TRIM (12240)	COMPLETED	0	2025-09-29 17:19:58.104	1m 7s	1m 5s	108.3%	760.5 MB	4.4 GB	417.8 MB	2.1 MB
46	03/26dcc7	102833	ORCL_PIPELINE:QC_REPORTS:FASTQC_TRIM (544)	COMPLETED	0	2025-09-29 17:20:09.979	1m 8s	1m 6s	108.0%	741.8 MB	4.1 GB	436.9 MB	2 MB
10	54/c723cb	102003	ORCL_PIPELINE:TRIM_READS:TRIM_PROCESS (3312)	COMPLETED	0	2025-09-29 17:20:05.328	1m 17s	1m 15s	330.0%	4.3 GB	5.1 GB	778.6 MB	646.4 MB
45	fd/7e652f	105120	ORCL_PIPELINE:QC_REPORTS:FASTQC_TRIM (544)	COMPLETED	0	2025-09-29 17:20:20.716	1m 5s	1m 4s	108.6%	821.6 MB	4.3 GB	438.4 MB	2 MB
39	14/10c4ec	111357	ORCL_PIPELINE:FASTQ_VALIDATION_STATS:VALIDATE_PE_TRIM (validate-2774-R1.trim.fastq.gz)	COMPLETED	0	2025-09-29 17:20:55.427	34.4s	32.8s	110.6%	600 MB	36 GB	454.6 MB	2.9 KB
50	19/c26080	112552	ORCL_PIPELINE:QC_REPORTS:FASTQC_TRIM (671)	COMPLETED	0	2025-09-29 17:21:00.404	37.5s	35.5s	117.9%	746.2 MB	4.2 GB	234.5 MB	2 MB
52	08/bc83ca	113503	ORCL_PIPELINE:QC_REPORTS:FASTQC_TRIM (671)	COMPLETED	0	2025-09-29 17:21:05.190	34.5s	32.5s	116.0%	820.9 MB	4.3 GB	232.8 MB	2 MB
56	78/64e806	120620	ORCL_PIPELINE:QC_REPORTS:MULTIQC_RAW (multiqc)	COMPLETED	0	2025-09-29 17:21:37.934	6.9s	4.7s	168.2%	244.4 MB	14 GB	64 MB	28 MB
28	e8/143102	109816	ORCL_PIPELINE:FASTQ_VALIDATION_STATS:VALIDATE_PE_RAW (validate-12240_S49_L007_R1_001.fastq.gz)	COMPLETED	0	2025-09-29 17:20:45.754	1m 11s	1m 9s	108.8%	610.2 MB	36 GB	963 MB	5.3 KB
47	c3/101888	106399	ORCL_PIPELINE:QC_REPORTS:FASTQC_TRIM (1658)	COMPLETED	0	2025-09-29 17:20:26.625	1m 35s	1m 34s	106.4%	736.1 MB	4.1 GB	690.7 MB	2 MB
55	3e/06fe17	115874	ORCL_PIPELINE:QC_REPORTS:FASTQC_TRIM (561)	COMPLETED	0	2025-09-29 17:21:17.658	49.8s	48.5s	111.5%	812.6 MB	4.4 GB	392.6 MB	2 MB
43	8e/5a867b	116680	ORCL_PIPELINE:FASTQ_VALIDATION_STATS:VALIDATE_PE_TRIM (validate-12240-R1.trim.fastq.gz)	COMPLETED	0	2025-09-29 17:21:21.934	50.7s	49.2s	107.9%	593.9 MB	36 GB	824.2 MB	5 KB
23	79/d37dcd	103568	ORCL_PIPELINE:FASTQ_VALIDATION_STATS:VALIDATE_PE_RAW (validate-1658_S47_L007_R1_001.fastq.gz)	COMPLETED	0	2025-09-29 17:20:13.523	1m 59s	1m 57s	107.3%	685.3 MB	36 GB	1.5 GB	8.7 KB
54	17/e100d3	117634	ORCL_PIPELINE:QC_REPORTS:FASTQC_TRIM (561)	COMPLETED	0	2025-09-29 17:21:26.011	50.8s	49.5s	110.4%	805.1 MB	4.3 GB	389.9 MB	2 MB
49	1a/4f9edf	107525	ORCL_PIPELINE:QC_REPORTS:FASTQC_TRIM (1658)	COMPLETED	0	2025-09-29 17:20:32.447	1m 45s	1m 44s	105.6%	739.1 MB	4.1 GB	692.5 MB	2 MB
58	ca/f89aa6	120855	ORCL_PIPELINE:QC_REPORTS:FASTQC_TRIM (2759)	COMPLETED	0	2025-09-29 17:21:39.647	45s	43.4s	112.4%	829.1 MB	4.3 GB	340 MB	2.1 MB
66	a0/e6829f	131918	ORCL_PIPELINE:QC_REPORTS:MULTIQC_FASTP (multiqc)	COMPLETED	0	2025-09-29 17:22:24.683	5.6s	4.1s	177.9%	204.5 MB	14 GB	57 MB	35.9 MB
59	34/d860b8	122467	ORCL_PIPELINE:QC_REPORTS:FASTQC_TRIM (2759)	COMPLETED	0	2025-09-29 17:21:44.794	45.8s	43.5s	113.8%	763.1 MB	4.3 GB	340.1 MB	2.1 MB
44	c2/e6d2a4	118644	ORCL_PIPELINE:FASTQ_VALIDATION_STATS:VALIDATE_PE_TRIM (validate-544-R1.trim.fastq.gz)	COMPLETED	0	2025-09-29 17:21:29.834	1m 5s	1m 3s	107.6%	596.4 MB	36 GB	873.3 MB	5.4 KB
51	79/6f11d9	128067	ORCL_PIPELINE:FASTQ_VALIDATION_STATS:VALIDATE_PE_TRIM (validate-671-R1.trim.fastq.gz)	COMPLETED	0	2025-09-29 17:22:12.633	28.8s	27.5s	111.3%	592.8 MB	36 GB	465.4 MB	3 KB
60	df/846c37	125657	ORCL_PIPELINE:QC_REPORTS:FASTQC_TRIM (2769)	COMPLETED	0	2025-09-29 17:22:01.970	54.4s	52.4s	111.9%	755.2 MB	4.2 GB	424.1 MB	2 MB
53	3e/ec1cbe	128074	ORCL_PIPELINE:FASTQ_VALIDATION_STATS:VALIDATE_PE_TRIM (validate-561-R1.trim.fastq.gz)	COMPLETED	0	2025-09-29 17:22:12.640	44.6s	43.3s	109.8%	602.9 MB	36 GB	780.6 MB	4.7 KB
65	53/a2c926	129707	ORCL_PIPELINE:QC_REPORTS:FASTQC_TRIM (3312)	COMPLETED	0	2025-09-29 17:22:17.879	41.9s	40.4s	113.3%	745.1 MB	4.2 GB	332.6 MB	2.1 MB
62	28/3a9a2f	126856	ORCL_PIPELINE:QC_REPORTS:FASTQC_TRIM (2769)	COMPLETED	0	2025-09-29 17:22:07.514	52.6s	51.4s	109.1%	739.9 MB	4.2 GB	421.6 MB	2 MB
63	a7/802e2c	129461	ORCL_PIPELINE:QC_REPORTS:FASTQC_TRIM (3312)	COMPLETED	0	2025-09-29 17:22:16.781	43.8s	42.4s	111.8%	746.6 MB	4.2 GB	334.3 MB	2.1 MB
68	31/b3294c	139547	ORCL_PIPELINE:FASTQ_VALIDATION_STATS:MERGE_VALI_RES_RAW (merge-sr-raw-validate-csv)	COMPLETED	0	2025-09-29 17:23:00.549	155ms	7ms	105.5%	0	0	120.4 KB	541 B
69	b4/240377	139644	ORCL_PIPELINE:QC_REPORTS:MULTIQC_TRIM (multiqc)	COMPLETED	0	2025-09-29 17:23:00.712	6s	4.4s	181.4%	204.1 MB	14 GB	63.9 MB	26 MB
57	e9/6c6b79	133535	ORCL_PIPELINE:FASTQ_VALIDATION_STATS:VALIDATE_PE_TRIM (validate-2759-R1.trim.fastq.gz)	COMPLETED	0	2025-09-29 17:22:30.595	43.9s	42.6s	109.1%	597.9 MB	36 GB	678.1 MB	4.5 KB
64	93/19be33	135878	ORCL_PIPELINE:FASTQ_VALIDATION_STATS:VALIDATE_PE_TRIM (validate-3312-R1.trim.fastq.gz)	COMPLETED	0	2025-09-29 17:22:41.457	38.3s	36.9s	109.8%	599.8 MB	36 GB	664.9 MB	4.2 KB
48	39/8667b1	124704	ORCL_PIPELINE:FASTQ_VALIDATION_STATS:VALIDATE_PE_TRIM (validate-1658-R1.trim.fastq.gz)	COMPLETED	0	2025-09-29 17:21:56.649	1m 28s	1m 26s	107.1%	592.4 MB	36 GB	1.3 GB	8.4 KB
61	8d/162ed5	134251	ORCL_PIPELINE:FASTQ_VALIDATION_STATS:VALIDATE_PE_TRIM (validate-2769-R1.trim.fastq.gz)	COMPLETED	0	2025-09-29 17:22:35.029	52.8s	50.4s	108.2%	600.7 MB	36 GB	843.8 MB	5.2 KB
70	df/887c33	142123	ORCL_PIPELINE:FASTQ_VALIDATION_STATS:MERGE_VALI_RES_TRIM (merge-sr-trim-validate-csv)	COMPLETED	0	2025-09-29 17:23:27.829	277ms	10ms	137.1%	0	0	120.2 KB	433 B
67	7f/94ecfd	138968	ORCL_PIPELINE:FASTQ_VALIDATION_STATS:FASTQ_STATS_SR_TRIM (sr-trim-seqkit-stats)	COMPLETED	0	2025-09-29 17:22:57.202	2m 42s	2m 40s	709.9%	197.6 MB	1.6 GB	13.3 GB	6.6 GB
