task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
17	7a/a0d129	53785	ORCL_PIPELINE:FASTQ_VALIDATION_STATS:VALIDATE_PE_RAW (validate-671_S45_L007_R1_001.fastq.gz)	COMPLETED	0	2025-09-29 17:15:30.871	38.6s	36.9s	113.1%	626.9 MB	36 GB	510.5 MB	3 KB
26	7a/b1eb14	53779	ORCL_PIPELINE:QC_REPORTS:FASTQC_RAW (671)	COMPLETED	0	2025-09-29 17:15:30.844	38.4s	36.5s	115.9%	744.8 MB	4.3 GB	256.2 MB	2 MB
14	68/a82c40	53834	ORCL_PIPELINE:QC_REPORTS:FASTQC_RAW (2774)	COMPLETED	0	2025-09-29 17:15:30.974	40.3s	38.5s	114.0%	824.2 MB	4.3 GB	251.6 MB	2 MB
7	cd/e9b876	53792	ORCL_PIPELINE:TRIM_READS:TRIM_PROCESS (2774)	COMPLETED	0	2025-09-29 17:15:30.888	48.7s	46.5s	547.2%	4.3 GB	5.1 GB	544.3 MB	436.1 MB
13	c4/c9e5a0	53806	ORCL_PIPELINE:FASTQ_VALIDATION_STATS:VALIDATE_PE_RAW (validate-3312_S44_L007_R1_001.fastq.gz)	COMPLETED	0	2025-09-29 17:15:30.927	60s	58.2s	109.5%	618.8 MB	36 GB	738 MB	4.3 KB
5	66/ad3bc1	53813	ORCL_PIPELINE:FASTQ_VALIDATION_STATS:VALIDATE_PE_RAW (validate-2759_S42_L007_R1_001.fastq.gz)	COMPLETED	0	2025-09-29 17:15:30.938	1m 2s	1m	109.9%	640.5 MB	36 GB	756.1 MB	4.6 KB
37	e3/b3f119	53827	ORCL_PIPELINE:QC_REPORTS:FASTQC_RAW (12240)	COMPLETED	0	2025-09-29 17:15:30.962	1m 8s	1m 6s	108.0%	746.6 MB	4.1 GB	490.8 MB	2.1 MB
6	da/c8d60d	53799	ORCL_PIPELINE:QC_REPORTS:FASTQC_RAW (2769)	COMPLETED	0	2025-09-29 17:15:30.915	1m 13s	1m 12s	108.1%	748.1 MB	4.1 GB	470.2 MB	2.1 MB
9	d2/fd7d40	62744	ORCL_PIPELINE:FASTQ_VALIDATION_STATS:VALIDATE_PE_RAW (validate-2774_S43_L007_R1_001.fastq.gz)	COMPLETED	0	2025-09-29 17:16:09.469	37.9s	36s	111.8%	613.9 MB	36 GB	503.8 MB	3 KB
8	42/9ed175	62712	ORCL_PIPELINE:QC_REPORTS:FASTQC_RAW (2759)	COMPLETED	0	2025-09-29 17:16:09.289	57.3s	55.5s	107.9%	757.9 MB	4.3 GB	377.3 MB	2.1 MB
24	d8/63d2bc	70138	ORCL_PIPELINE:QC_REPORTS:FASTQC_RAW (671)	COMPLETED	0	2025-09-29 17:16:44.140	52.1s	49.7s	105.8%	825.8 MB	4.3 GB	256.1 MB	2 MB
27	f0/6d8aaf	67522	ORCL_PIPELINE:TRIM_READS:TRIM_PROCESS (12240)	COMPLETED	0	2025-09-29 17:16:30.897	1m 8s	1m 6s	704.5%	4.3 GB	5.1 GB	1003.5 MB	805.7 MB
20	da/755064	65098	ORCL_PIPELINE:FASTQ_VALIDATION_STATS:VALIDATE_PE_RAW (validate-544_S46_L007_R1_001.fastq.gz)	COMPLETED	0	2025-09-29 17:16:19.556	1m 27s	1m 25s	103.8%	629.1 MB	36 GB	971.3 MB	5.6 KB
29	aa/a74a40	69085	ORCL_PIPELINE:QC_REPORTS:FASTQC_RAW (544)	COMPLETED	0	2025-09-29 17:16:39.371	1m 34s	1m 33s	99.6%	767.6 MB	4.2 GB	485.8 MB	2.1 MB
32	15/90867e	63356	ORCL_PIPELINE:QC_REPORTS:FASTQC_RAW (1658)	COMPLETED	0	2025-09-29 17:16:11.301	2m 11s	2m 9s	99.5%	751.5 MB	4.2 GB	762.3 MB	2 MB
