task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
47	c7/0a5a12	318237	ORCL_PIPELINE:GET_ORGANELLE:GETORGANELLE_RUN (561)	COMPLETED	0	2025-09-30 12:56:39.039	21m 48s	21m 46s	177.0%	4.1 GB	15.9 GB	57.7 GB	15.6 GB
65	45/d98a9b	388660	ORCL_PIPELINE:QC_REPORTS:FASTQC_TRIM (671)	COMPLETED	0	2025-09-30 13:18:26.847	29.9s	28.4s	115.8%	790.9 MB	4.4 GB	234.5 MB	2 MB
66	82/300dac	390445	ORCL_PIPELINE:QC_REPORTS:FASTQC_TRIM (671)	COMPLETED	0	2025-09-30 13:18:56.783	39s	37.6s	115.1%	832.9 MB	4.4 GB	232.8 MB	2 MB
46	64/1be1a5	310132	ORCL_PIPELINE:GET_ORGANELLE:GETORGANELLE_RUN (544)	COMPLETED	0	2025-09-30 12:55:43.267	24m 16s	24m 14s	172.3%	4.3 GB	16.1 GB	66.4 GB	17.7 GB
64	62/7ec874	392767	ORCL_PIPELINE:FASTQ_VALIDATION_STATS:VALIDATE_PE_TRIM (validate-671-R1.trim.fastq.gz)	COMPLETED	0	2025-09-30 13:19:35.782	28s	26.3s	112.8%	600.6 MB	36 GB	465.4 MB	3 KB
70	70/3afb5b	395364	ORCL_PIPELINE:QC_REPORTS:FASTQC_TRIM (2759)	COMPLETED	0	2025-09-30 13:20:03.764	50.1s	48.4s	113.6%	819.8 MB	4.4 GB	340.1 MB	2.1 MB
69	f8/743551	399382	ORCL_PIPELINE:FASTQ_VALIDATION_STATS:VALIDATE_PE_TRIM (validate-2759-R1.trim.fastq.gz)	COMPLETED	0	2025-09-30 13:20:53.888	55s	52.9s	108.9%	604.3 MB	36 GB	678.1 MB	4.5 KB
51	02/920ad6	336078	ORCL_PIPELINE:GET_ORGANELLE:GETORGANELLE_RUN (2769)	COMPLETED	0	2025-09-30 12:58:58.156	23m 45s	23m 43s	171.0%	4.4 GB	16.2 GB	64.7 GB	17.2 GB
68	76/3266ff	407569	ORCL_PIPELINE:QC_REPORTS:FASTQC_TRIM (2759)	COMPLETED	0	2025-09-30 13:22:43.409	56.7s	54.5s	110.7%	780.8 MB	4.3 GB	340 MB	2.1 MB
71	5b/c50ab9	412434	ORCL_PIPELINE:FASTQ_VALIDATION_STATS:MERGE_VALI_RES_RAW (merge-sr-raw-validate-csv)	COMPLETED	0	2025-09-30 13:23:40.093	184ms	9ms	168.4%	0	0	120.4 KB	541 B
74	34/06e09b	412532	ORCL_PIPELINE:QC_REPORTS:FASTQC_TRIM (1658)	COMPLETED	0	2025-09-30 13:23:40.284	1m 45s	1m 43s	105.0%	737.6 MB	4.1 GB	690.7 MB	2 MB
